functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
ens lh frt seat,fr seat,completely fixing of fr buckle connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fr seat,proper fix of odc connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fasteners,proper fixing of fr seat bolt,partial fitment ,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,3.0,4.0,96.0,available,,
ens lh frt seat,fasteners,,over tightened,"1.fastener broken
2.abnormal track movement",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,available,,
rh r/v mirror,mirror patch,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3.0,visual inspection,7.0,105.0,identification mark provided in part,design team (varun kumar; sandeep) & vrs1,,5.0,4.0,4.0,80.0,,,154.0
rh r/v mirror,mirror patch,completely routing and fixing of joystick cable,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
rh r/v mirror,mirror patch,completely fixing of mirror patch,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
carpet floor frt,,,,,,,,,,,,,60.0,,,,,,,,,,
"$vis cblx rpl mtend 4,5 l20 ac znidn3l",,,,,,,,,,,,,60.0,,,,,,,,,,
sealed grommet,,,,,,,,,,,,,60.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens lh frt seat,fr seat,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3.0,visual inspection,7.0,126.0,identification mark provided in part,design team (ramachandran; manoranjan) vrs1,,6.0,4.0,4.0,96.0,,,154.0
ens lh frt seat,fr seat,comletely fixing of fr seat,partial fixing of fr seat,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator not follow the work instruction (ensure to hear click sound),".operator training
",3.0,"1.visual inspection
",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fr seat,completely fixing of fr buckle connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fr seat,proper fix of odc connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fasteners,proper fixing of fr seat bolt,partial fitment ,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,3.0,4.0,96.0,available,,
ens lh frt seat,fasteners,,over tightened,"1.fastener broken
2.abnormal track movement",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,available,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
sticker 20 dia tesa,,,,,,,,,,,,,60.0,,,,,,,,,,
toolbox,psgr dummy,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3.0,visual inspection,8.0,144.0,alc code need  to be provided,design team (kingsly; narendra) & vrs 2.1,,6.0,3.0,5.0,90.0,,,154.0
toolbox,psgr dummy,completely fixing of psgr dummy,partial fixing of psgr dummy,"1. poor aesthitic ( more gap)
3.clip breakage",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
multifunction ctrl block,hvac ctrl,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
multifunction ctrl block,hvac ctrl,completely fix of bourdon cable,partial fix of bourden cable,"1.poor ac flow
",5,,,operator not follow the work instruction,operator training and orientation mark ,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,available,,
multifunction ctrl block,hvac ctrl,completely fix of hvac ctrl connector,partial fixing of hvac ctrl connector,functional failure and rattle noise,5,,,operator not follow the work instruction (ensure to hear click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
multifunction ctrl block,fasteners,completely fix of hvac ctrl fastener,partial fitment ,"1. rattle noise
2.part falldown
3. poor aesthitic",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
multifunction ctrl block,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3.0,visual inspection,8.0,192.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
